team,total_rush_yards,win_percentage
Cowboys,5740,0.6021164021164022
Broncos,6301,0.5980603448275862
Steelers,5732,0.5911016949152542
Dolphins,6101,0.572354211663067
49ers,7886,0.5633652822151225
Patriots,7816,0.5565123789020452
Ravens,7175,0.5531400966183575
Vikings,7401,0.5519828510182208
Redskins,6974,0.5292207792207793
Packers,6879,0.5264864864864864
Titans,6543,0.5247813411078717
Raiders,9110,0.5156756756756756
Bears,6937,0.5148188803512623
Giants,4688,0.5054229934924078
Rams,5247,0.49079089924160346
Eagles,9028,0.4891540130151844
Seahawks,8285,0.4801980198019802
Panthers,7993,0.48
Jaguars,6413,0.4799054373522459
Chiefs,10860,0.47902869757174393
Colts,5841,0.47896440129449835
Chargers,8816,0.4758771929824561
Falcons,6618,0.46416758544652703
Bengals,5741,0.46357615894039733
Bills,7416,0.4524590163934426
Jets,6847,0.44004400440044006
Browns,6381,0.43483412322274884
Texans,6007,0.4296028880866426
Saints,9701,0.42731277533039647
Lions,9108,0.4195338512763596
Cardinals,5248,0.4113082039911308
Buccaneers,6190,0.4
