team,total_pass_yards,win_percentage
Cowboys,33972,0.6021164021164022
Broncos,34972,0.5980603448275862
Steelers,34263,0.5911016949152542
Dolphins,29227,0.572354211663067
49ers,26970,0.5633652822151225
Patriots,39318,0.5565123789020452
Ravens,33714,0.5531400966183575
Vikings,27331,0.5519828510182208
Redskins,32359,0.5292207792207793
Packers,37430,0.5264864864864864
Titans,28431,0.5247813411078717
Raiders,27028,0.5156756756756756
Bears,28691,0.5148188803512623
Giants,33210,0.5054229934924078
Rams,27050,0.49079089924160346
Eagles,35528,0.4891540130151844
Seahawks,29381,0.4801980198019802
Panthers,28347,0.48
Jaguars,27406,0.4799054373522459
Chiefs,26379,0.47902869757174393
Colts,35348,0.47896440129449835
Chargers,34189,0.4758771929824561
Falcons,33620,0.46416758544652703
Bengals,29630,0.46357615894039733
Bills,28032,0.4524590163934426
Jets,26194,0.44004400440044006
Browns,27747,0.43483412322274884
Texans,33713,0.4296028880866426
Saints,39594,0.42731277533039647
Lions,34266,0.4195338512763596
Cardinals,32706,0.4113082039911308
Buccaneers,26837,0.4
