team,total_pass_yards,total_rush_yards,total_offense_yards,win_percentage
Cowboys,33972,5740,39712,0.6021164021164022
Broncos,34972,6301,41273,0.5980603448275862
Steelers,34263,5732,39995,0.5911016949152542
Dolphins,29227,6101,35328,0.572354211663067
49ers,26970,7886,34856,0.5633652822151225
Patriots,39318,7816,47134,0.5565123789020452
Ravens,33714,7175,40889,0.5531400966183575
Vikings,27331,7401,34732,0.5519828510182208
Redskins,32359,6974,39333,0.5292207792207793
Packers,37430,6879,44309,0.5264864864864864
Titans,28431,6543,34974,0.5247813411078717
Raiders,27028,9110,36138,0.5156756756756756
Bears,28691,6937,35628,0.5148188803512623
Giants,33210,4688,37898,0.5054229934924078
Rams,27050,5247,32297,0.49079089924160346
Eagles,35528,9028,44556,0.4891540130151844
Seahawks,29381,8285,37666,0.4801980198019802
Panthers,28347,7993,36340,0.48
Jaguars,27406,6413,33819,0.4799054373522459
Chiefs,26379,10860,37239,0.47902869757174393
Colts,35348,5841,41189,0.47896440129449835
Chargers,34189,8816,43005,0.4758771929824561
Falcons,33620,6618,40238,0.46416758544652703
Bengals,29630,5741,35371,0.46357615894039733
Bills,28032,7416,35448,0.4524590163934426
Jets,26194,6847,33041,0.44004400440044006
Browns,27747,6381,34128,0.43483412322274884
Texans,33713,6007,39720,0.4296028880866426
Saints,39594,9701,49295,0.42731277533039647
Lions,34266,9108,43374,0.4195338512763596
Cardinals,32706,5248,37954,0.4113082039911308
Buccaneers,26837,6190,33027,0.4
